Model,scaler,cluster,AUCPR,AUCROC,best_loss,noise_percentage,scaled
COPOD,,,95.7317103908436,30.34084841069331,,,Normalizer
LUNAR,,,95.65758484253016,27.898081955883853,,,Normalizer
KNN,,,95.50714870422334,27.10708041132775,,,Normalizer
ourmodel,QuantileTransformer,40.0,99.51013981837308,85.77733090131835,0.0,2.0,
DevNet,,,99.14171374846607,77.67509563785634,,,Normalizer
DeepSVDD,,,98.0206140855282,59.14476909075117,,,Normalizer
PCA,,,97.98036980448298,58.15242389568016,,,Normalizer
LOF,,,97.680365888221,54.70001246218858,,,Normalizer
AE1SVM,,,97.55669558568216,60.76189289315372,,,Normalizer
HBOS,,,97.350353647488,46.78773682878841,,,Normalizer
ALAD,,,97.16195897971984,51.52126691364458,,,Normalizer
IForest,,,97.09739518405136,52.94584801416913,,,Normalizer
OCSVM,,,96.99238895399004,59.95953565130041,,,Normalizer
AutoEncoder,,,96.65425046961774,39.6093689223228,,,Normalizer
ECOD,,,96.11012691790938,33.57258847209791,,,Normalizer
CBLOF,,,95.87784741387694,40.76901899917296,,,Normalizer
LODA,,,95.8729580183138,31.49571376241026,,,Normalizer
COPOD,,,95.7317103908436,30.34084841069331,,,Normalizer
LUNAR,,,95.65758484253016,27.898081955883853,,,Normalizer
KNN,,,95.50714870422334,27.10708041132775,,,Normalizer
ourmodel,MinMaxScaler,105.0,99.47875048653142,86.47622365474452,0.0,3.0,
DevNet,,,99.14035468954393,77.64109463332842,,,Normalizer
LODA,,,98.06901779640954,67.90755699563069,,,Normalizer
LOF,,,97.7063562254468,54.12591719819789,,,Normalizer
AE1SVM,,,97.52639344983584,59.972332053126685,,,Normalizer
DeepSVDD,,,97.4888313826461,53.75209685764026,,,Normalizer
PCA,,,97.45097522278424,52.79055781511399,,,Normalizer
HBOS,,,97.2128392974079,41.38315187631467,,,Normalizer
ALAD,,,97.0541492817783,50.93075554850624,,,Normalizer
AutoEncoder,,,97.04332054360088,50.85709834932648,,,Normalizer
OCSVM,,,96.960174300178,59.575080909815306,,,Normalizer
IForest,,,96.91140214349235,49.753331747236594,,,Normalizer
ECOD,,,96.10813842692797,33.55004324001798,,,Normalizer
CBLOF,,,95.87797604070282,40.73147760016012,,,Normalizer
COPOD,,,95.7311201506492,30.33195116332642,,,Normalizer
LUNAR,,,95.64446890856138,27.766700276811644,,,Normalizer
KNN,,,95.48738108635094,27.049218092076693,,,Normalizer
ourmodel,Normalizer,30.0,99.00192801002738,80.61062835865424,1.0,3.0,
DevNet,,,99.14035468954393,77.64109463332842,,,Normalizer
LODA,,,98.06901779640954,67.90755699563069,,,Normalizer
LOF,,,97.7063562254468,54.12591719819789,,,Normalizer
AE1SVM,,,97.52639344983584,59.972332053126685,,,Normalizer
DeepSVDD,,,97.4888313826461,53.75209685764026,,,Normalizer
PCA,,,97.45097522278424,52.79055781511399,,,Normalizer
HBOS,,,97.2128392974079,41.38315187631467,,,Normalizer
ALAD,,,97.0541492817783,50.93075554850624,,,Normalizer
AutoEncoder,,,97.04332054360088,50.85709834932648,,,Normalizer
OCSVM,,,96.960174300178,59.575080909815306,,,Normalizer
IForest,,,96.91140214349235,49.753331747236594,,,Normalizer
ECOD,,,96.10813842692797,33.55004324001798,,,Normalizer
CBLOF,,,95.87797604070282,40.73147760016012,,,Normalizer
COPOD,,,95.7311201506492,30.33195116332642,,,Normalizer
LUNAR,,,95.64446890856138,27.766700276811644,,,Normalizer
KNN,,,95.48738108635094,27.049218092076693,,,Normalizer
ourmodel,StandardScaler,35.0,99.16964891493846,81.6723822795231,0.0,3.0,
DevNet,,,99.14035468954393,77.64109463332842,,,Normalizer
LODA,,,98.06901779640954,67.90755699563069,,,Normalizer
LOF,,,97.7063562254468,54.12591719819789,,,Normalizer
AE1SVM,,,97.52639344983584,59.972332053126685,,,Normalizer
DeepSVDD,,,97.4888313826461,53.75209685764026,,,Normalizer
PCA,,,97.45097522278424,52.79055781511399,,,Normalizer
HBOS,,,97.2128392974079,41.38315187631467,,,Normalizer
ALAD,,,97.0541492817783,50.93075554850624,,,Normalizer
AutoEncoder,,,97.04332054360088,50.85709834932648,,,Normalizer
OCSVM,,,96.960174300178,59.575080909815306,,,Normalizer
IForest,,,96.91140214349235,49.753331747236594,,,Normalizer
ECOD,,,96.10813842692797,33.55004324001798,,,Normalizer
CBLOF,,,95.87797604070282,40.73147760016012,,,Normalizer
COPOD,,,95.7311201506492,30.33195116332642,,,Normalizer
LUNAR,,,95.64446890856138,27.766700276811644,,,Normalizer
KNN,,,95.48738108635094,27.049218092076693,,,Normalizer
ourmodel,QuantileTransformer,85.0,99.3051273800324,82.99047964320377,0.0,3.0,
DevNet,,,99.14035468954393,77.64109463332842,,,Normalizer
LODA,,,98.06901779640954,67.90755699563069,,,Normalizer
LOF,,,97.7063562254468,54.12591719819789,,,Normalizer
AE1SVM,,,97.52639344983584,59.972332053126685,,,Normalizer
DeepSVDD,,,97.4888313826461,53.75209685764026,,,Normalizer
PCA,,,97.45097522278424,52.79055781511399,,,Normalizer
HBOS,,,97.2128392974079,41.38315187631467,,,Normalizer
ALAD,,,97.0541492817783,50.93075554850624,,,Normalizer
AutoEncoder,,,97.04332054360088,50.85709834932648,,,Normalizer
OCSVM,,,96.960174300178,59.575080909815306,,,Normalizer
IForest,,,96.91140214349235,49.753331747236594,,,Normalizer
ECOD,,,96.10813842692797,33.55004324001798,,,Normalizer
CBLOF,,,95.87797604070282,40.73147760016012,,,Normalizer
COPOD,,,95.7311201506492,30.33195116332642,,,Normalizer
LUNAR,,,95.64446890856138,27.766700276811644,,,Normalizer
KNN,,,95.48738108635094,27.049218092076693,,,Normalizer
