Model,scaler,cluster,AUCPR,AUCROC,best_loss,noise_percentage,scaled
DeepSVDD,,,96.20049425638943,80.76226106185905,,,Normalizer
HBOS,,,95.97566943373748,80.16333672395692,,,Normalizer
PCA,,,95.81498440408714,78.08510362188615,,,Normalizer
AutoEncoder,,,93.52728950871636,68.31362788062508,,,Normalizer
AE1SVM,,,93.23605894033844,67.11206473500086,,,Normalizer
LOF,,,92.41082937191489,52.41983737527208,,,Normalizer
CBLOF,,,91.02061615209908,59.08569393375896,,,Normalizer
IForest,,,90.69460731200982,64.39027723486215,,,Normalizer
ALAD,,,90.23625512603547,50.56185083930495,,,Normalizer
OCSVM,,,90.18163811134974,49.30235405498797,,,Normalizer
KNN,,,89.5951777416375,66.87125626109824,,,Normalizer
LODA,,,88.18130447836778,43.269897219209525,,,Normalizer
DevNet,,,86.25324831708807,38.76860596740256,,,Normalizer
COPOD,,,84.58889016786338,42.954556195548925,,,Normalizer
ECOD,,,82.37142605582483,35.27151323524034,,,Normalizer
ourmodel,MinMaxScaler,140.0,97.36608012280048,81.66490812604823,1.0,3.0,
LUNAR,,,98.0103097185182,88.94393700323667,,,Normalizer
DeepSVDD,,,95.87516481124356,79.53500090504099,,,Normalizer
HBOS,,,95.69099072925256,79.02311539421648,,,Normalizer
PCA,,,95.61990992846609,77.28225421917425,,,Normalizer
AutoEncoder,,,93.92257252461,70.82333325962607,,,Normalizer
AE1SVM,,,93.66520400325032,69.6268353611831,,,Normalizer
LODA,,,93.15749621443496,62.16089946753176,,,Normalizer
LOF,,,92.2817708983416,52.06744367553949,,,Normalizer
CBLOF,,,91.00198172440774,59.06610329600692,,,Normalizer
IForest,,,90.74398487616904,64.64854707539035,,,Normalizer
OCSVM,,,90.16415718884984,49.21850241765638,,,Normalizer
ALAD,,,90.10325245055152,50.17517990460274,,,Normalizer
KNN,,,89.4767658799489,66.49247975022857,,,Normalizer
DevNet,,,86.25231700905324,38.764991580042505,,,Normalizer
COPOD,,,84.5864695622517,42.93624580725021,,,Normalizer
ECOD,,,82.3672093215851,35.24594989122447,,,Normalizer
ourmodel,Normalizer,85.0,93.34334753555174,66.97569130044837,6.0,3.0,
LUNAR,,,98.0103097185182,88.94393700323667,,,Normalizer
DeepSVDD,,,95.87516481124356,79.53500090504099,,,Normalizer
HBOS,,,95.69099072925256,79.02311539421648,,,Normalizer
PCA,,,95.61990992846609,77.28225421917425,,,Normalizer
AutoEncoder,,,93.92257252461,70.82333325962607,,,Normalizer
AE1SVM,,,93.66520400325032,69.6268353611831,,,Normalizer
LODA,,,93.15749621443496,62.16089946753176,,,Normalizer
LOF,,,92.2817708983416,52.06744367553949,,,Normalizer
CBLOF,,,91.00198172440774,59.06610329600692,,,Normalizer
IForest,,,90.74398487616904,64.64854707539035,,,Normalizer
OCSVM,,,90.16415718884984,49.21850241765638,,,Normalizer
ALAD,,,90.10325245055152,50.17517990460274,,,Normalizer
KNN,,,89.4767658799489,66.49247975022857,,,Normalizer
DevNet,,,86.25231700905324,38.764991580042505,,,Normalizer
COPOD,,,84.5864695622517,42.93624580725021,,,Normalizer
ECOD,,,82.3672093215851,35.24594989122447,,,Normalizer
ourmodel,StandardScaler,85.0,94.45284047440818,66.90871128209285,6.0,3.0,
LUNAR,,,98.0103097185182,88.94393700323667,,,Normalizer
DeepSVDD,,,95.87516481124356,79.53500090504099,,,Normalizer
HBOS,,,95.69099072925256,79.02311539421648,,,Normalizer
PCA,,,95.61990992846609,77.28225421917425,,,Normalizer
AutoEncoder,,,93.92257252461,70.82333325962607,,,Normalizer
AE1SVM,,,93.66520400325032,69.6268353611831,,,Normalizer
LODA,,,93.15749621443496,62.16089946753176,,,Normalizer
LOF,,,92.2817708983416,52.06744367553949,,,Normalizer
CBLOF,,,91.00198172440774,59.06610329600692,,,Normalizer
IForest,,,90.74398487616904,64.64854707539035,,,Normalizer
OCSVM,,,90.16415718884984,49.21850241765638,,,Normalizer
ALAD,,,90.10325245055152,50.17517990460274,,,Normalizer
KNN,,,89.4767658799489,66.49247975022857,,,Normalizer
DevNet,,,86.25231700905324,38.764991580042505,,,Normalizer
COPOD,,,84.5864695622517,42.93624580725021,,,Normalizer
ECOD,,,82.3672093215851,35.24594989122447,,,Normalizer
ourmodel,QuantileTransformer,30.0,90.06206872637748,50.0,13.0,3.0,
LUNAR,,,98.0103097185182,88.94393700323667,,,Normalizer
DeepSVDD,,,95.87516481124356,79.53500090504099,,,Normalizer
HBOS,,,95.69099072925256,79.02311539421648,,,Normalizer
PCA,,,95.61990992846609,77.28225421917425,,,Normalizer
AutoEncoder,,,93.92257252461,70.82333325962607,,,Normalizer
AE1SVM,,,93.66520400325032,69.6268353611831,,,Normalizer
LODA,,,93.15749621443496,62.16089946753176,,,Normalizer
LOF,,,92.2817708983416,52.06744367553949,,,Normalizer
CBLOF,,,91.00198172440774,59.06610329600692,,,Normalizer
IForest,,,90.74398487616904,64.64854707539035,,,Normalizer
OCSVM,,,90.16415718884984,49.21850241765638,,,Normalizer
ALAD,,,90.10325245055152,50.17517990460274,,,Normalizer
KNN,,,89.4767658799489,66.49247975022857,,,Normalizer
DevNet,,,86.25231700905324,38.764991580042505,,,Normalizer
COPOD,,,84.5864695622517,42.93624580725021,,,Normalizer
ECOD,,,82.3672093215851,35.24594989122447,,,Normalizer
